shop,POS,DEP,FUNC,SEN:0,LIT
a,POS,DEP,FUNC,SEN:0,LIT
snack,POS,DEP,FUNC,SEN:0,LIT
bar,POS,DEP,FUNC,SEN:0,LIT
and,POS,DEP,FUNC,SEN:0,LIT
a,POS,DEP,FUNC,SEN:0,LIT
petrol,POS,DEP,FUNC,SEN:0,LIT
station,POS,DEP,FUNC,SEN:0,LIT
and,POS,DEP,FUNC,SEN:1,LIT
a,POS,DEP,FUNC,SEN:1,LIT
snack,POS,DEP,FUNC,SEN:1,LIT
bar,POS,DEP,FUNC,SEN:1,LIT
and,POS,DEP,FUNC,SEN:1,LIT
T.V.,POS,DEP,FUNC,SEN:1,LIT
tail,POS,DEP,FUNC,SEN:2,LIT
at,POS,DEP,FUNC,SEN:2,LIT
the,POS,DEP,FUNC,SEN:2,LIT
snack,POS,DEP,FUNC,SEN:2,LIT
bar,POS,DEP,FUNC,SEN:2,LIT
itâ€™s,POS,DEP,FUNC,SEN:2,LIT
actually,POS,DEP,FUNC,SEN:2,LIT
not,POS,DEP,FUNC,SEN:2,LIT
pong,POS,DEP,FUNC,SEN:3,LIT
table,POS,DEP,FUNC,SEN:3,LIT
snack,POS,DEP,FUNC,SEN:3,LIT
bar,POS,DEP,FUNC,SEN:3,LIT
or,POS,DEP,FUNC,SEN:3,LIT
VCR,POS,DEP,FUNC,SEN:3,LIT
but,POS,DEP,FUNC,SEN:3,LIT
burn,POS,DEP,FUNC,SEN:4,ORAL
through,POS,DEP,FUNC,SEN:4,ORAL
the,POS,DEP,FUNC,SEN:4,ORAL
metal,POS,DEP,FUNC,SEN:4,ORAL
bar,POS,DEP,FUNC,SEN:4,ORAL
a,POS,DEP,FUNC,SEN:5,ORAL
companion,POS,DEP,FUNC,SEN:5,ORAL
with,POS,DEP,FUNC,SEN:5,ORAL
metal,POS,DEP,FUNC,SEN:5,ORAL
bar,POS,DEP,FUNC,SEN:5,ORAL
as,POS,DEP,FUNC,SEN:5,ORAL
they,POS,DEP,FUNC,SEN:5,ORAL
left,POS,DEP,FUNC,SEN:5,ORAL
an,POS,DEP,FUNC,SEN:5,ORAL
